bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i31_private              , 10 , 2048 , 2028  
bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i32_private              , 10 , 2048 , 986   
bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i62_private              , 10 , 2048 , 4497  
bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i15_public               , 10 , 2048 , 258   
bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i31_public               , 10 , 2048 , 1048  
bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i32_public               , 10 , 2048 , 532   
bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i62_public               , 10 , 2048 , 2201  
openssl   , 3.4.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , BN_mod_exp_mont_consttime_x2    , 10 , 2048 , 16674 
openssl   , 3.4.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , BN_mod_exp_mont                 , 10 , 2048 , 7000  
openssl   , 3.4.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , BN_mod_exp_mont_consttime       , 10 , 2048 , 6607  
openssl   , 3.4.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , EVP_PKEY_sign                   , 10 , 2048 , 6547  
openssl   , 3.4.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , EVP_PKEY_verify                 , 10 , 2048 , 785861
openssl   , 3.4.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , EVP_PKEY_sign_crt               , 10 , 2048 , 47919 
openssl   , 3.0.7   , gcc   , gcc (GCC) 14.2.1 20240910                       , BN_mod_exp_mont_consttime_x2    , 10 , 2048 , 6688  
openssl   , 3.0.7   , gcc   , gcc (GCC) 14.2.1 20240910                       , BN_mod_exp_mont                 , 10 , 2048 , 7196  
openssl   , 3.0.7   , gcc   , gcc (GCC) 14.2.1 20240910                       , BN_mod_exp_mont_consttime       , 10 , 2048 , 6629  
openssl   , 3.0.7   , gcc   , gcc (GCC) 14.2.1 20240910                       , EVP_PKEY_sign                   , 10 , 2048 , 6433  
openssl   , 3.0.7   , gcc   , gcc (GCC) 14.2.1 20240910                       , EVP_PKEY_verify                 , 10 , 2048 , 791028
openssl   , 3.0.7   , gcc   , gcc (GCC) 14.2.1 20240910                       , EVP_PKEY_sign_crt               , 10 , 2048 , 48677 
gmp       , 6.3.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , mpz_powm                        , 10 , 2048 , 6759  
